sample_key	barcode	snp_vcf_path	snp_count	sv_vcf_path	sv_count
../../GREGoR_adaptive_sampling/1_3_HG002_Trio|1_3_HG002_Trio_barcode03	03	../../GREGoR_adaptive_sampling/1_3_HG002_Trio/1_3_HG002_Trio_barcode03.local.phased.vcf.gz	30248	../../GREGoR_adaptive_sampling/1_3_HG002_Trio/1_3_HG002_Trio_barcode03_global.germline.kanpig.genotyped.vcf.gz	909
../../GREGoR_adaptive_sampling/1_3_wgs_HG002_Trio|1_3_wgs_HG002_Trio_barcode01	01	../../GREGoR_adaptive_sampling/1_3_wgs_HG002_Trio/1_3_wgs_HG002_Trio_barcode01.local.phased.vcf.gz	4508906	../../GREGoR_adaptive_sampling/1_3_wgs_HG002_Trio/1_3_wgs_HG002_Trio_barcode01_global.germline.kanpig.genotyped.vcf.gz	26006
../../GREGoR_adaptive_sampling/1_3_wgs_HG002_Trio|1_3_wgs_HG002_Trio_barcode02	02	../../GREGoR_adaptive_sampling/1_3_wgs_HG002_Trio/1_3_wgs_HG002_Trio_barcode02.local.phased.vcf.gz	4365010	../../GREGoR_adaptive_sampling/1_3_wgs_HG002_Trio/1_3_wgs_HG002_Trio_barcode02_global.germline.kanpig.genotyped.vcf.gz	23331
../../GREGoR_adaptive_sampling/1_3_wgs_HG002_Trio|1_3_wgs_HG002_Trio_barcode03	03	../../GREGoR_adaptive_sampling/1_3_wgs_HG002_Trio/1_3_wgs_HG002_Trio_barcode03.local.phased.vcf.gz	4474731	../../GREGoR_adaptive_sampling/1_3_wgs_HG002_Trio/1_3_wgs_HG002_Trio_barcode03_global.germline.kanpig.genotyped.vcf.gz	23959
../../GREGoR_adaptive_sampling/22_24_Gregor_Trio|22_24_Gregor_Trio_barcode22	22	../../GREGoR_adaptive_sampling/22_24_Gregor_Trio/22_24_Gregor_Trio_barcode22.local.phased.vcf.gz	230762	../../GREGoR_adaptive_sampling/22_24_Gregor_Trio/22_24_Gregor_Trio_barcode22_global.germline.kanpig.genotyped.vcf.gz	2264
../../GREGoR_adaptive_sampling/22_24_Gregor_Trio|22_24_Gregor_Trio_barcode23	23	../../GREGoR_adaptive_sampling/22_24_Gregor_Trio/22_24_Gregor_Trio_barcode23.local.phased.vcf.gz	229598	../../GREGoR_adaptive_sampling/22_24_Gregor_Trio/22_24_Gregor_Trio_barcode23_global.germline.kanpig.genotyped.vcf.gz	2160
../../GREGoR_adaptive_sampling/22_24_Gregor_Trio|22_24_Gregor_Trio_barcode24	24	../../GREGoR_adaptive_sampling/22_24_Gregor_Trio/22_24_Gregor_Trio_barcode24.local.phased.vcf.gz	238481	../../GREGoR_adaptive_sampling/22_24_Gregor_Trio/22_24_Gregor_Trio_barcode24_global.germline.kanpig.genotyped.vcf.gz	2286
../../GREGoR_adaptive_sampling/25_27_Gregor_Trio|25_27_Gregor_Trio_barcode25	25	../../GREGoR_adaptive_sampling/25_27_Gregor_Trio/25_27_Gregor_Trio_barcode25.local.phased.vcf.gz	236815	../../GREGoR_adaptive_sampling/25_27_Gregor_Trio/25_27_Gregor_Trio_barcode25_global.germline.kanpig.genotyped.vcf.gz	2118
../../GREGoR_adaptive_sampling/25_27_Gregor_Trio|25_27_Gregor_Trio_barcode26	26	../../GREGoR_adaptive_sampling/25_27_Gregor_Trio/25_27_Gregor_Trio_barcode26.local.phased.vcf.gz	235876	../../GREGoR_adaptive_sampling/25_27_Gregor_Trio/25_27_Gregor_Trio_barcode26_global.germline.kanpig.genotyped.vcf.gz	1951
../../GREGoR_adaptive_sampling/25_27_Gregor_Trio|25_27_Gregor_Trio_barcode27	27	../../GREGoR_adaptive_sampling/25_27_Gregor_Trio/25_27_Gregor_Trio_barcode27.local.phased.vcf.gz	237452	../../GREGoR_adaptive_sampling/25_27_Gregor_Trio/25_27_Gregor_Trio_barcode27_global.germline.kanpig.genotyped.vcf.gz	2046
